"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Dec 06 10:37:09 GMT+01:00 2025","Sat Dec 06 10:37:19 GMT+01:00 2025","10169","Suite","Test","tests.OpenNewAccountPageTest","tests.OpenNewAccountPageTest","openAccountTest","openAccountTest",""
"passed","Fri Dec 05 21:55:05 GMT+01:00 2025","Fri Dec 05 21:55:06 GMT+01:00 2025","1518","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Fri Dec 05 21:42:24 GMT+01:00 2025","Fri Dec 05 21:42:27 GMT+01:00 2025","2738","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"broken","Sat Dec 06 10:37:25 GMT+01:00 2025","Sat Dec 06 10:37:25 GMT+01:00 2025","55","Suite","Test","tests.TransferFundsPageTest","tests.TransferFundsPageTest","transferFundsPageTest","transferFundsPageTest",""
"passed","Sat Dec 06 09:37:40 GMT+01:00 2025","Sat Dec 06 09:37:41 GMT+01:00 2025","1001","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 09:00:13 GMT+01:00 2025","Sat Dec 06 09:00:15 GMT+01:00 2025","2166","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Sat Dec 06 09:37:35 GMT+01:00 2025","Sat Dec 06 09:37:37 GMT+01:00 2025","2079","Suite","Test","tests.RegisterPageTest","tests.RegisterPageTest","registerTest","registerTest",""
"passed","Sat Dec 06 08:57:14 GMT+01:00 2025","Sat Dec 06 08:57:15 GMT+01:00 2025","1050","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 09:35:02 GMT+01:00 2025","Sat Dec 06 09:35:03 GMT+01:00 2025","936","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
"passed","Sat Dec 06 10:24:37 GMT+01:00 2025","Sat Dec 06 10:24:38 GMT+01:00 2025","981","Suite","Test","tests.LogInPageTest","tests.LogInPageTest","loginTest","loginTest",""
